E,LDOS
 -0.70666666666666667      ,   9.8941155317816887E-002
 -0.70613333333333339      ,   9.9155395894098844E-002
 -0.70560000000000000      ,   9.9370445252137202E-002
 -0.70506666666666673      ,   9.9586307750166719E-002
 -0.70453333333333334      ,   9.9802987776834148E-002
 -0.70400000000000007      ,  0.10002048975145837     
 -0.70346666666666668      ,  0.10023881812429380     
 -0.70293333333333341      ,  0.10045797737679410     
 -0.70240000000000002      ,  0.10067797202188079     
 -0.70186666666666664      ,  0.10089880660421416     
 -0.70133333333333336      ,  0.10112048570046567     
 -0.70080000000000009      ,  0.10134301391959515     
 -0.70026666666666670      ,  0.10156639590312877     
 -0.69973333333333332      ,  0.10179063632544104     
 -0.69920000000000004      ,  0.10201573989404002     
 -0.69866666666666677      ,  0.10224171134985383     
 -0.69813333333333338      ,  0.10246855546752219     
 -0.69760000000000000      ,  0.10269627705568943     
 -0.69706666666666672      ,  0.10292488095730061     
 -0.69653333333333334      ,  0.10315437204990234     
 -0.69600000000000006      ,  0.10338475524594322     
 -0.69546666666666668      ,  0.10361603549308258     
 -0.69493333333333340      ,  0.10384821777449624     
 -0.69440000000000002      ,  0.10408130710919153     
 -0.69386666666666674      ,  0.10431530855232050     
 -0.69333333333333336      ,  0.10455022719549995     
 -0.69280000000000008      ,  0.10478606816713248     
 -0.69226666666666670      ,  0.10502283663273258     
 -0.69173333333333342      ,  0.10526053779525472     
 -0.69120000000000004      ,  0.10549917689542641     
 -0.69066666666666676      ,  0.10573875921208249     
 -0.69013333333333338      ,  0.10597929006250573     
 -0.68959999999999999      ,  0.10622077480276870     
 -0.68906666666666672      ,  0.10646321882808035     
 -0.68853333333333333      ,  0.10670662757313623     
 -0.68800000000000006      ,  0.10695100651247190     
 -0.68746666666666667      ,  0.10719636116082054     
 -0.68693333333333340      ,  0.10744269707347402     
 -0.68640000000000001      ,  0.10769001984664779     
 -0.68586666666666674      ,  0.10793833511785123     
 -0.68533333333333335      ,  0.10818764856625801     
 -0.68480000000000008      ,  0.10843796591308522     
 -0.68426666666666669      ,  0.10868929292197320     
 -0.68373333333333342      ,  0.10894163539937043     
 -0.68320000000000003      ,  0.10919499919492331     
 -0.68266666666666675      ,  0.10944939020186832     
 -0.68213333333333337      ,  0.10970481435743105     
 -0.68159999999999998      ,  0.10996127764322622     
 -0.68106666666666671      ,  0.11021878608566484     
 -0.68053333333333332      ,  0.11047734575636453     
 -0.68000000000000005      ,  0.11073696277256473     
 -0.67946666666666666      ,  0.11099764329754515     
 -0.67893333333333339      ,  0.11125939354105065     
 -0.67840000000000000      ,  0.11152221975971974     
 -0.67786666666666673      ,  0.11178612825751719     
 -0.67733333333333334      ,  0.11205112538617279     
 -0.67680000000000007      ,  0.11231721754562371     
 -0.67626666666666668      ,  0.11258441118446202     
 -0.67573333333333341      ,  0.11285271280038787     
 -0.67520000000000002      ,  0.11312212894066578     
 -0.67466666666666675      ,  0.11339266620258800     
 -0.67413333333333336      ,  0.11366433123394279     
 -0.67359999999999998      ,  0.11393713073348527     
 -0.67306666666666670      ,  0.11421107145141696     
 -0.67253333333333343      ,  0.11448616018986883     
 -0.67200000000000004      ,  0.11476240380338970     
 -0.67146666666666666      ,  0.11503980919944032     
 -0.67093333333333338      ,  0.11531838333889292     
 -0.67040000000000011      ,  0.11559813323653650     
 -0.66986666666666672      ,  0.11587906596158794     
